NAM	PRO	DAY	MON	YEA	HOU	TMZ	LAT	LON	PLA
Dillman Bredford	AC	14	04	1930	00:45	8h	37N47	122W25	San Francisco, CA
Dillon John	MI	11	12	1919	06:15	8h	47N14	122W26	Tacoma, WA
Dine James	AR	16	06	1935	14:24	5h	39N6	84W31	Cincinnati, OH
Dixon Frank	SC	09	03	1920	08:00	6h	44N57	93W6	St Paul, MN
Dixon Thomas	EX	15	03	1916	15:30	6h	36N10	86W47	Nashville, TN
Dizenzo Charles	WR	21	05	1938	14:07	4h	40N53	74W3	Hackensack, NJ
Doell Richard	SC	28	06	1923	16:04	8h	37N49	122W16	Dakland, CA
Donahue Phil	AC	21	12	1935	11:25	5h	41N30	81W42	Cleveland, OH
Donovan Hedley	EX	24	05	1914	10:00	6h	46N22	94W12	Brainerd, MN
Doob Joseph	SC	27	02	1910	01:00	6h	39N6	84W31	Cincinnati, OH
Douce William	EX	09	12	1919	22:00	6h	37N39	98W7	Kingman, KS
Douglass Stephen	AC	27	09	1921	07:00	5h	40N23	82W29	Mount Vernon, OH
Downs Hugh	AC	14	02	1921	17:15	6h	41N5	81W31	Akron, OH
Dreisezun Abraham	MI	02	10	1920	18:00	6h	39N6	94W35	Kansas City, MO
Drell Sidney	SC	13	09	1926	04:07	4h	39N21	74W27	Atlantic City, NJ
Drysoale Don	SP	23	07	1936	09:10	8h	34N11	118W26	Van Nuys, CA
Du Pont Pierre	PO	22	01	1935	12:31	5h	39N45	75W33	Wilmington, DE
Duerk Alene	MI	29	03	1920	01:15	6h	41N17	84W22	Defiance, OH
Duke Charles	MI	03	10	1935	02:54	5h	35N13	80W51	Charlotte, NC
Dullea Keir	AC	30	05	1936	02:14	5h	41N30	81W42	Cleveland, OH
Duncan Charles	EX	09	09	1926	23:38	6h	29N46	95W22	Houston, TX
Duncan Charles	MI	07	12	1911	09:45	6h	37N53	84W34	Nicholasville, KY
Duncan Sandy	AC	20	02	1946	08:34	6h	32N9	94W48	Henderson, TX
Dunlap Robert	MI	19	10	1920	19:30	6h	41N7	90W50	Abington, IL
Dunlop John	PO	05	07	1914	08:15	8h	38N44	120W48	Placerville, CA
Dunn John	MI	22	07	1925	20:37	8h	34N4	118W15	Los Angeles, CA
Dupont Rene	MI	21	11	1919	04:50	8h	34N4	118W15	Los Angeles, CA
Duquemin Gordon	MI	03	01	1924	10:45	6h	43N2	87W55	Milwaukee, WI
Dussault Nancy	AC	30	06	1936	13:30	6h	30N25	87W13	Pensacola, FL
Duvall Robert	AC	30	09	1929	17:10	8h	32N43	117W9	San Diego, CA
Dwyer Ross	MI	20	07	1919	06:35	10h30	21N19	157W52	Honolulu, HI
Eagleburger Lawrence	PO	01	08	1930	18:32	6h	43N2	87W55	Milwaukee, WI
Eagleton Thomas	PO	04	09	1929	02:50	6h	38N37	90W12	St Louis, MO
Eastman Ben	SP	09	07	1911	19:00	8h	37N35	122W21	Burlingame, CA
Eastwood Clinton	AC	31	05	1930	17:35	8h	37N47	122W25	San Francisco, CA
Eaton Charles	WR	25	06	1916	19:00	5h	36N6	80W15	WinstonSalem, NC
Economou George	WR	24	09	1934	08:00	7h	47N30	111W17	Great Falls, MT
Eddy Don	AR	04	11	1944	21:30	7h	33N47	118W11	Long Beach, CA
Edmundson James	MI	18	06	1915	21:00	8h	34N6	118W21	Hollywood, CA
Egan Richard	AC	29	07	1921	21:00	8h	37N47	122W25	San Francisco, CA
Ehrlich S	SC	04	05	1932	15:20	6h	44N59	93W16	Minneapolis, MN
Ehrlichman John	PO	20	03	1925	23:35	8h	47N14	122W26	Tacoma, WA
Eisele Donn	MI	23	06	1930	14:52	5h	39N58	83W0	Columbus, OH
Eisenhower John	XX	03	08	1922	06:20	7h	39N44	104W59	Denver, CO
Elder Lee	SP	14	07	1934	08:00	6h	32N47	96W49	Dallas, TX
Eller Carl	SP	25	02	1942	03:18	4h	36N6	80W15	WinstonSalem, NC
Elliott Frank	MI	02	12	1924	13:09	5h	35N47	80W53	Statesville, NC
Ellis Jimmy	SP	24	02	1940	21:58	6h	38N15	85W46	Louisville, KY
Ellis Richard	MI	19	07	1919	08:30	4h	38N33	75W34	Laurel, DE
Ely Ron	AC	21	06	1938	08:10	6h	34N49	102W24	Hereford, TX
Embry Wayne	SP	26	03	1937	10:55	5h	39N55	83W49	Springfield, OH
Engle Joe	MI	26	08	1932	06:30	6h	38N55	97W13	Abilene, KS
Engman Lewis	PO	06	01	1936	17:35	5h	42N58	85W40	Grand Rapids, MI
Epperson Harold	MI	14	07	1923	12:00	5h	41N5	81W31	Akron, OH
Esch Arthur	MI	31	01	1917	05:30	6h	40N42	89W25	Washington, IL
Estes William	SC	17	06	1919	23:45	5h	44N59	93W16	Minneapolis, MN
Etherington Edwin	EX	25	12	1924	03:35	5h	40N40	74W7	Bayonne, NJ
Evans Andrew	MI	11	11	1918	11:00	5h	32N46	79W56	Charleston, SC
Evans Daniel	PO	16	10	1925	06:40	8h	47N36	122W20	Seattle, WA
Evans Harold	SC	19	02	1921	09:00	6h	36N43	86W35	Franklin, KY
Evans Lee	SP	25	02	1947	12:40	8h	36N57	120W3	Madera, CA
Evans Ronald	MI	10	11	1933	04:30	7h	39N47	101W48	St Francis, KS
Everhart Rex	AC	13	06	1920	13:00	6h	40N47	87W44	Watseka, IL
Everson William	WR	10	09	1912	08:30	8h	38N35	121W29	Sacramento, CA
Exley Charles	EX	14	12	1929	03:55	5h	42N20	83W3	Detroit, MI
Eyen Tom	AC	14	08	1940	12:40	5h	40N2	81W35	Cambridge, OH
Fabares Shelley	AC	19	01	1944	04:25	7h	34N1	118W29	Santa Monica, CA
Fabray Nanette	AC	27	10	1920	03:00	8h	32N43	117W9	San Diego, CA
Faggs Hariwenta	SP	10	04	1932	15:30	5h	39N27	74W44	Mays Landing, NJ
Fairchild John	EX	06	03	1927	05:55	5h	40N44	74W10	Newark, NJ
Farner Donald	SC	02	05	1915	11:00	6h	44N18	91W43	Waumandee, WI
Farrell Suzanne	AR	16	08	1945	05:00	5h	39N6	84W31	Cincinnati, OH
Farrow Mia	AC	09	02	1945	11:27	7h	34N4	118W15	Los Angeles, CA
Faver Dudley	MI	17	08	1916	15:00	6h	32N28	100W24	Sweatwater, TX
Fegan Joseph	MI	21	12	1920	04:54	8h	34N4	118W15	Los Angeles, CA
Feinstein Dianne	PO	22	06	1933	00:44	8h	37N47	122W25	San Francisco, CA
Felker Clay	EX	02	10	1925	09:28	6h	38N37	90W12	St Louis, MO
Felton Lester	SP	06	03	1929	21:45	5h	42N20	83W3	Detroit, MI
Fernie John	AR	22	10	1945	17:23	6h	38N5	97W56	Hutchinson, KS
Fery John	EX	16	02	1930	21:50	8h	48N46	122W29	Bellingham, WA
Fidrych Mark	SP	14	08	1954	12:13	4h	42N16	71W48	Worcester, MA
Field Sally	AC	06	11	1946	04:23	8h	34N9	118W9	Pasadena, CA
Fine Jud	AR	20	11	1944	03:02	7h	34N4	118W15	Los Angeles, CA
Fingers Rollis	SP	25	08	1946	03:20	4h	40N22	80W37	Steubenville, OH
Fish Howard	MI	01	08	1923	03:00	6h	45N40	94W49	Melrose, MN
Fisher Joel	AR	06	06	1947	08:52	4h	40N54	80W52	Salem, OH
Flamson Richard	EX	02	02	1929	10:30	8h	34N4	118W15	Los Angeles, CA
Flavin Joseph	EX	16	10	1928	20:15	6h	38N37	90W12	St Louis, MO
Fleisher Leon	AR	23	07	1928	22:20	8h	37N47	122W25	San Francisco, CA
Fleming Lawrence	MI	12	12	1922	14:00	6h	44N31	88W0	Green Bay, WI
Fleming Peggy	SP	27	07	1948	15:39	7h	37N20	121W53	San Jose, CA
Fleming Richard	MI	02	11	1917	05:30	6h	44N57	93W6	St Paul, MN
Fletcher Allan	AC	19	07	1922	11:55	8h	37N47	122W25	San Francisco, CA
Flood Curtis	SP	18	01	1938	20:30	6h	29N46	95W22	Houston, TX
Fodor Eugene	AR	05	03	1950	06:20	7h	38N23	104W46	Turkey Creek, CO
Fonville Charles	SP	27	04	1927	11:45	6h	33N31	86W48	Birmingham, AL
Ford Henry	EX	04	09	1917	18:00	5h	42N20	83W3	Detroit, MI
Ford Wendell	PO	08	09	1924	08:30	6h	37N46	87W7	Owensboro, KY
Foreman George	SP	10	01	1949	21:15	6h	32N33	94W23	Marshall, TX
Forrester Eugene	MI	17	04	1926	19:00	6h	36N6	86W8	Watertown, TN
Fortunato Joseph	SP	28	03	1931	01:00	5h	40N19	80W37	Mingo Junction, OH
Fosbury Dick	SP	06	03	1947	12:07	8h	45N32	122W37	Portland, OR
Foster William	MI	17	02	1915	06:30	5h	41N30	81W42	Cleveland, OH
Foxx Redd	AC	09	12	1922	01:12	6h	38N37	90W12	St Louis, MO
Foyt Anthony	SP	16	01	1935	01:25	6h	29N46	95W22	Houston, TX
Francis Sam	AR	25	06	1923	06:30	8h	37N34	122W19	San Mateo, CA
Fratienne Linda	SP	02	08	1960	09:34	7h	34N14	118W33	Northridge, CA
Frazier Joe	SP	17	01	1944	07:00	4h	34N42	80W47	Beaufort, SC
Freeman David	SP	06	09	1920	19:25	8h	34N9	118W9	Pasadena, CA
Freeman Orville	PO	09	05	1918	02:00	5h	44N59	93W16	Minneapolis, MN
Fried Howard	AR	14	06	1946	09:17	5h	41N30	81W42	Cleveland, OH
Friedan Betty	WR	04	02	1921	04:00	6h	40N42	89W36	Peoria, IL
Fris Edward	MI	01	09	1921	12:30	6h	37N55	88W59	Orient, IL
Froehlke Robert	PO	15	10	1922	04:10	6h	44N11	88W28	Neenah, WI
Fry Shriley	SP	30	06	1927	12:35	5h	41N5	81W31	Akron, OH
Fuchs Jim	SP	06	12	1927	23:20	6h	41N52	87W39	Chicago, IL
Fujii Paul	SP	06	07	1940	12:30	10h30	21N19	157W52	Honolulu, HI
Fullmer Donald	SP	21	02	1939	02:40	7h	40N37	111W57	West Jordan, UT
Fullmer Gene	SP	21	07	1931	15:35	7h	40N37	111W57	West Jordan, UT
Fulton William	MI	31	10	1919	12:00	8h	37N52	122W16	Berkeley, CA
Gable Dan	SP	25	10	1948	06:10	6h	41N26	85W1	Waterloo, IA
Gabriel Roman	SP	05	08	1940	22:05	5h	34N14	77W55	Wilmington, NC
Gagne Verne	SP	26	02	1926	23:15	6h	44N59	93W16	Minneapolis, MN
Galambos Robert	SC	20	04	1914	23:00	6h	41N28	82W11	Lorain, OH
Gallo Frank	AR	13	01	1933	14:10	5h	41N39	83W33	Toledo, OH
Galloway James	MI	10	08	1919	14:00	4h	35N8	82W56	Lake Toxaway, NC
Galvin Robert	EX	09	10	1922	11:49	6h	44N40	90W10	Marshfield, WI
Gardner Ava	AC	24	12	1922	19:10	5h	35N28	78W11	Boon Hill Township, NC
Gardner John	PO	08	10	1912	21:00	8h	34N4	118W15	Los Angeles, CA
Garner Peggy	AC	03	02	1932	09:40	5h	40N48	81W23	Canton, OH
Garrels Robert	SC	24	08	1916	09:15	5h	42N20	83W3	Detroit, MI
Garrett Francis	MI	07	04	1919	18:45	4h	34N51	82W24	Greenville, SC
Garrett George	WR	11	06	1929	15:10	5h	28N33	81W23	Orlando, FL
Garwin Richard	SC	19	04	1928	01:15	5h	41N30	81W42	Cleveland, OH
Geiberger Allen	SP	01	09	1937	04:16	8h	40N11	122W15	Red Bluff, CA
Geis Lawrence	MI	14	07	1916	21:00	6h	38N50	97W37	Salina, KS
Gerstacker Carl	EX	06	08	1916	18:15	5h	41N30	81W42	Cleveland, OH
Gersten Bernard	AC	30	01	1923	14:00	5h	40N44	74W10	Newark, NJ
Gianelli John	SP	10	06	1950	11:49	8h	37N58	121W17	Stockton, CA
Gibson Althea	SP	25	08	1927	09:00	5h	33N43	80W17	Silver, SC
Gifford Frank	SP	16	08	1930	02:10	8h	34N1	118W29	Santa Monica, CA
Gilhooly David	AR	15	04	1943	12:25	7h	38N54	121W4	Auburn, CA
Gillen Stanley	EX	10	08	1911	14:00	6h	41N39	83W33	Toledo, OH
Gilliam John	SP	07	08	1945	12:00	4h	34N12	82W10	Greenwood, SC
Gilligan John	PO	22	03	1921	06:00	6h	39N6	84W31	Cincinnati, OH
Gillingham Gale	SP	03	02	1944	15:52	5h	43N4	89W24	Madison, WI
Gilruth Robert	PO	08	10	1913	14:00	6h	47N23	93W10	Nashwauk, MN
Giraudo John	MI	02	10	1923	14:00	8h	34N25	119W42	Santa Barbara, CA
Glaser Donald	SC	21	09	1926	23:30	5h	41N30	81W42	Cleveland, OH
Gleason Andrew	SC	04	11	1921	23:50	8h	36N44	119W47	Fresno, CA
Glenn John	MI	18	07	1921	15:00	4h	40N2	81W35	Cambridge, OH
Goddard James	PO	24	04	1923	18:00	5h	40N55	81W6	Alliance, OH
Godding George	MI	12	07	1920	16:00	6h	38N58	95W14	Lawrence, KS
Goings Ralph	AR	09	05	1928	18:15	8h	39N54	122W10	Corning, CA
Gold Herbert	WR	09	03	1924	09:45	5h	41N30	81W42	Cleveland, OH
Goldberger Marvin	SC	22	10	1922	20:00	6h	41N52	87W39	Chicago, IL
Gomes Harold	SP	22	08	1933	07:52	4h	41N49	71W24	Providence, RI
Gonzales Richard	SP	09	05	1928	04:45	8h	34N4	118W15	Los Angeles, CA
Good Robert	AC	21	05	1922	06:00	6h	46N29	93W58	Grosby, MN
Goodman Julian	EX	01	05	1922	04:00	6h	37N0	85W55	Glasgow, KY
Goodson Mark	AR	24	01	1915	01:25	8h	38N35	121W29	Sacramento, CA
Gordon Richard	MI	05	10	1929	12:45	8h	47N36	122W20	Seattle, WA
Goulian Mehran	SC	31	12	1929	07:00	5h	40N46	74W0	Weehawken, NJ
Graebner Clark	SP	04	11	1943	18:20	5h	41N30	81W42	Cleveland, OH
Graham Dan	AR	31	03	1942	02:21	5h	40N7	88W12	Urbana, IL
Graham Gordon	MI	16	02	1918	00:05	7h	38N1	107W40	Ouray, CO
Graham Otto	SP	06	12	1921	01:50	6h	42N22	87W50	Waukegan, IL
Graham William	XX	07	11	1918	15:30	5h	35N13	80W51	Charlotte, NC
Gramm Donald	AR	26	02	1927	05:45	6h	43N2	87W55	Milwaukee, WI
Granger Farley	AC	01	07	1925	23:35	8h	37N20	121W53	San Jose, CA
Grant Verne	SC	17	10	1917	18:35	8h	37N47	122W25	San Francisco, CA
Graves Peter	AC	18	03	1926	09:55	6h	44N59	93W16	Minneapolis, MN
Gray Harry	SC	14	11	1935	23:30	6h	36N50	86W32	Woodburn, KY
Grayson Kathryn	AC	09	02	1922	13:30	5h	36N6	80W15	WinstonSalem, NC
Greene Joe	SP	25	09	1946	05:00	6h	31N6	97W21	Temple, TX
Greenfield James	EX	16	07	1924	11:07	5h	41N30	81W42	Cleveland, OH
Gregory Cynthia	AR	08	07	1946	06:32	8h	34N4	118W15	Los Angeles, CA
Grelle Jim	SP	30	09	1936	05:45	8h	45N32	122W37	Portland, OR
Grey Joel	AC	11	04	1932	21:52	5h	41N30	81W42	Cleveland, OH
Gribble William	MI	24	05	1917	11:25	6h	46N27	90W9	Ironwood, MI
Grier Rosey	SP	14	07	1932	00:00	6h	31N46	84W48	Cuthbert, GA
Griffin Archie	SP	21	08	1954	17:00	5h	39N58	83W0	Columbus, OH
Griffith Thomas	EX	30	12	1915	06:00	8h	47N14	122W26	Tacoma, WA
Grimes Gary	AC	02	06	1955	21:49	7h	37N47	122W25	San Francisco, CA
Grizzard George	AC	01	04	1928	01:50	5h	35N28	77W40	Roanoke Rapids, NC
Gronouski John	PO	26	10	1919	22:20	6h	45N39	88W10	Dunbar, WI
Groza Alex	SP	07	10	1926	21:45	5h	40N6	80W44	Martins Ferry, OH
Groza Louis	SP	25	01	1924	02:15	5h	40N6	80W44	Martins Ferry, OH
Guillen Ambrosio	MI	07	12	1929	18:00	7h	37N59	103W33	La Junta, CD
Guinn Dick	MI	27	03	1918	23:45	6h	31N46	95W38	Palestine, TX
Gullans Charles	WR	05	05	1929	03:40	6h	44N59	93W16	Minneapolis, MN
Gunn Moses	AC	02	10	1929	23:00	6h	38N37	90W12	St Louis, MO
Guthrie John	MI	20	12	1921	03:45	5h	40N42	75W12	Phillipsburg, NJ
Gutowski Robert	SP	25	04	1935	00:40	8h	33N45	118W19	San Pedro, CA
Haack Robert	PO	15	02	1917	08:40	6h	43N3	88W0	Wauwatose, WI
Haddon William	PO	24	05	1926	03:03	4h	40N46	74W14	Orange, NJ
Hadl John	SP	15	02	1940	02:04	6h	38N58	95W14	Lawrence, KS
Haldeman Harry	PO	27	10	1926	03:30	8h	34N4	118W15	Los Angeles, CA
Haley John	EX	24	07	1929	10:00	5h	41N5	81W31	Akron, OH
Hall Charles	MI	05	10	1924	03:55	10h30	21N19	157W52	Honolulu, HI
Hall Floyd	EX	04	04	1916	13:30	7h	38N5	102W37	Lamar, CO
Hall James	WR	21	07	1918	11:30	5h	39N18	83W54	Midland, OH
Hall Susan	AR	19	03	1943	04:30	7h	38N4	122W48	Point Rayes Station, CA
Hamburger Christian	SP	13	08	1941	13:42	5h	35N9	79W0	Fort Bragg, NC
Hamill Dorothy	SP	26	07	1956	21:18	5h	41N52	87W39	Chicago, IL
Hamilton Colin	MI	06	03	1924	08:30	5h	35N39	78W28	Clayton, NC
Hamlet James	MI	13	12	1921	15:30	5h	40N55	81W6	Alliance, OH
Hammond Kathy	SP	02	11	1951	06:57	8h	38N35	121W29	Sacramanto, CA
Hampson Robert	EX	28	05	1917	23:32	8h	33N59	117W22	Riverside, CA
Hamrol Lloyd	AR	25	09	1937	12:18	8h	37N47	122W25	San Francisco, CA
Hand Lloyd	EX	31	01	1929	11:00	6h	38N53	90W10	Alton, IL
Hanley William	WR	22	10	1931	20:45	5h	41N28	82W11	Lorain, OH
Hansberger R	EX	01	06	1920	03:00	6h	43N37	95W36	Worthington, MN
Hansen Fred	SP	29	12	1940	03:50	6h	29N6	97W17	Cuero, TX
Hanson Duane	AR	17	01	1925	16:00	6h	45N53	95W22	Alexandria, MN
Hard Darlene	SP	06	01	1936	23:32	8h	34N4	118W15	Los Angeles, CA
Hardin Ernest	MI	25	12	1916	23:00	6h	37N30	87W52	Wheatcroft, KY
Harker David	SC	19	10	1906	15:00	8h	37N47	122W25	San Francisco, CA
Harrelson Ken	SP	04	09	1941	20:30	5h	34N45	82W2	Woodruff, SC
Harris Archie	SP	03	07	1918	04:30	4h	37N38	76W35	Urbanna, VA
Harris Chauncy	SC	31	01	1914	21:10	7h	41N44	111W50	Logan, UT
Harris Franco	SP	07	03	1950	03:50	5h	40N0	74W35	Fort Dix, NJ
Harris Patricia	PO	31	05	1924	03:40	6h	39N29	88W23	Mattoon, IL
Harrison Jim	WR	11	12	1937	11:00	5h	44N40	84W43	Grayling, MI
Hart Doris	SP	20	06	1925	07:00	6h	38N37	90W12	St Louis, MO
Hartnack Carl	EX	09	04	1916	09:00	8h	34N4	118W15	Los Angeles, CA
Hartzog George	PO	17	03	1920	14:00	5h	32N55	80W40	Colleton County, SC
Hasler Arthur	SC	05	01	1908	13:00	7h	40N24	111W51	Lehi, UT
Hauge Gabriel	EX	07	03	1914	18:40	6h	46N53	96W19	Hawley, MN
Hauge Louis	MI	12	12	1924	16:00	6h	47N18	96W31	Ada, MN
Havlicek John	SP	08	04	1940	08:40	5h	40N6	80W44	Martins Ferry, OH
Hawkins William	MI	19	04	1914	06:00	6h	37N50	94W42	Fort Scott, KS
Hayes Bob	SP	20	12	1942	15:29	4h	30N20	81W39	Jacksonville, FL
Hayes Elvin	SP	11	11	1945	22:00	6h	32N28	91W45	Rayville, LA
Hayward Thomas	MI	03	05	1924	14:20	8h	40N52	124W5	Glendale, CA
Hearnes Warren	PO	24	07	1923	09:10	6h	41N30	90W31	Moline, IL
Heffner Grover	MI	25	03	1919	23:00	8h	47N36	122W20	Seattle, WA
Hefner Hugh	EX	09	04	1926	16:20	6h	41N52	87W39	Chicago, IL
Heinsohn Thomas	SP	26	08	1934	13:31	4h	40N45	74W2	Union City, NJ
Heiser Rolland	MI	25	04	1925	12:30	6h	39N58	83W0	Columbus, OH
Held Franklin	SP	25	10	1927	08:00	8h	34N4	118W15	Los Angeles, CA
Heldman Julie	SP	08	12	1945	06:32	8h	37N52	122W16	Berkeley, CA
Helms Jesse	PO	18	10	1921	11:00	5h	34N59	80W33	Monroe, NC
Heltzer Harry	EX	22	08	1911	08:00	6h	39N6	84W31	Cincinnati, OH
Hencken John	SP	29	05	1954	08:43	7h	34N1	118W25	Culver City, CA
Henderson Horace	EX	30	07	1917	10:00	5h	36N20	78W25	Henderson, NC
Heppel Leon	SC	20	10	1912	06:00	7h	40N42	111W58	Granger, UT
Herman Woody	AR	16	05	1913	12:30	6h	43N2	87W55	Milwaukee, WI
Herschbach Dudley	SC	18	06	1932	02:55	8h	37N20	121W53	San Jose, CA
Hertz Roy	SC	19	06	1909	02:00	6h	41N30	81W42	Cleveland, OH
Hewitt Geof	WR	01	09	1943	20:40	4h	40N48	74W12	Glen Ridge, NJ
Hewitt William	EX	09	08	1914	22:30	8h	37N47	122W25	San Francisco, CA
Hickman Derryl	AC	28	07	1931	05:48	8h	34N6	118W21	Hollywood, CA
Hickman Dwayne	AC	18	05	1934	21:00	8h	34N4	118W15	Los Angeles, CA
Higgins Hugh	MI	16	02	1919	03:15	6h	39N58	83W0	Columbus, OH
Hiken Gerald	AC	23	05	1927	16:00	6h	43N2	87W55	Milwaukee, WI
Hildreth James	MI	19	07	1920	12:20	8h	39N9	123W13	Ukiah, CA
Hill Clarence	MI	18	10	1920	05:21	5h	40N43	74W18	Short Hills, NJ
Hill James	MI	22	10	1923	04:30	6h	39N43	82W36	Lancaster, OH
Hill L Gordon	MI	15	09	1922	01:00	5h	33N30	80W52	Orangeburg, SC
Hill Thomas	SP	17	11	1949	01:26	6h	29N58	90W4	New Orleans, LA
Hillenbrand Martin	PO	01	08	1915	03:00	6h	41N6	80W39	Youngstown, OH
Hiller Stanley	EX	15	11	1924	23:10	8h	37N47	122W25	San Francisco, CA
Hills Carla	PO	03	01	1934	12:32	8h	34N4	118W15	Los Angeles, CA
Hills Roderick	PO	09	03	1931	13:35	8h	47N36	122W20	Seattle, WA
Hirsch Elroy	SP	17	06	1923	22:45	6h	43N3	88W0	Wauwatosa, WI
Hoban Richard	MI	29	03	1922	08:10	6h	38N37	90W12	St Louis, MO
Hodgson James	PO	03	12	1915	02:20	6h	44N56	96W3	Dawson, MN
Hodson Kenneth	MI	27	04	1913	14:00	6h	37N10	94W42	Crestline, KS
Hoffman Carl	MI	24	12	1919	21:00	6h	41N17	96W1	Omaha, NE
Hoffman Dustin	AC	08	08	1937	17:07	8h	34N4	118W15	Los Angeles, CA
Hoffman Michael	XX	13	06	1915	18:30	8h	35N40	80W29	Salisbury, CA
Holbrook Hal	AC	17	02	1925	03:16	5h	41N30	81W42	Cleveland, OH
Holladay Terry	SP	28	11	1955	08:26	5h	35N13	80W51	Charlotte, NC
Holley Robert	SC	28	01	1922	23:00	6h	40N7	88W12	Urbana, IL
Hollings Ernest	PO	01	01	1922	14:30	5h	32N46	79W56	Charleston, SC
Hollingsworth James	MI	24	03	1918	05:00	6h	33N22	97W10	Sanger, TX
Hollingwort Keith	AR	21	04	1937	15:25	5h	41N49	71W24	Providence, RI
Holloway James	MI	23	09	1922	13:55	5h	32N46	79W56	Charleston, SC
Holmquist Carl	MI	18	11	1919	10:00	7h	40N45	111W53	Salt Lake City, UT
Holshouser James	PO	08	10	1934	16:33	5h	36N13	81W41	Boons, NC
Hoopman Harold	EX	22	07	1920	13:00	6h	39N4	98W32	Lucas, KS
Hoover Herbert	EX	23	04	1918	16:00	5h	40N48	81W23	Canton, OH
Hopper Dennis	AC	17	05	1936	20:45	6h	37N45	100W1	Dodge City, KS
Horner Richard	EX	24	10	1917	04:00	6h	46N37	92W23	Wrenshall, MN
Hornig Donald	SC	17	03	1920	17:05	6h	43N2	87W55	Milawaukee, WI
Hornung Paul	SP	23	12	1935	08:55	6h	38N15	85W46	Louisville, KY
Houser Jerry	AC	14	07	1952	20:08	7h	34N4	118W15	Los Angeles, CA
Houston James	SP	03	11	1937	09:00	5h	40N48	81W32	Massillon, OH
Howard Frank	SP	08	08	1936	11:00	5h	39N58	83W0	Columbus, OH
Howard Kenneth	AC	28	03	1944	11:21	7h	32N48	115W34	El Centro, CA
Howell Francis	SC	27	11	1925	20:45	6h	39N6	94W35	Kansas City, MO
Howell John	EX	07	02	1925	09:05	6h	36N10	86W47	Nashville, TN
Huddleston Walter	PO	15	04	1926	07:30	6h	36N58	82W59	Cumberland County, KY
Hudson Eugene	MI	06	10	1921	02:15	8h	34N4	118W15	Los Angeles, CA
Hudson Lou	SP	11	07	1944	08:10	4h	36N4	79W48	Greensboro, NC
Huebner Robert	SC	23	02	1914	08:15	6h	39N6	84W31	Cincinnati, OH
Hufstedler Shirley	PO	24	08	1925	06:30	7h	39N44	104W59	Denver, CO
Hugo Richard	WR	21	12	1923	20:00	8h	47N36	122W20	Seattle, WA
Hugues Emmet	PO	26	12	1920	06:10	5h	40N44	74W10	Newark, NJ
Hunt James	PO	16	05	1937	04:16	5h	36N4	79W48	Greensboro, NC
Husmann Ron	AC	30	06	1937	12:25	6h	42N16	89W6	Rockford, IL
Hutchison Clyde	SC	05	05	1913	10:30	6h	40N55	81W6	Alliance, OH
Hutton Lauren	AC	17	11	1943	22:45	4h	32N46	79W56	Charleston, SC
Ignatius Paul	EX	11	11	1920	13:05	8h	34N4	118W15	Los Angeles, CA
Inge William	WR	03	05	1913	15:10	6h	37N14	95W42	Independence, KS
Inouye Daniel	PO	07	09	1924	11:00	10h30	21N19	157W52	Honolulu, HI
Ireland Clarc	MI	08	06	1920	08:45	6h	40N42	89W36	Peoria, IL
Irving John	WR	02	03	1942	12:11	4h	42N59	70W57	Exeter, NH
Irwin Robert	AR	12	09	1928	21:45	8h	33N47	118W11	Long Beach, CA
Jackson Henry	PO	31	05	1912	17:00	8h	47N59	122W12	Everett, WA
Jackson Maynard	PO	23	03	1938	03:00	6h	32N47	96W49	Dallas, TX
Jackson Shirley	WR	14	12	1916	07:15	8h	37N47	122W25	San Francisco, CA
Jacobson Alfred	EX	12	11	1919	20:30	7h	39N21	112W35	Delta, UT
James Daniel	MI	11	02	1920	05:37	6h	30N25	87W13	Pensacola, FL
Janov Arthur	XX	21	08	1924	21:18	8h	34N4	118W15	Los Angeles, CA
Jarman Claude	AC	27	09	1934	12:03	6h	36N10	86W47	Nashville, TN
Jarman Franklin	EX	10	11	1931	13:00	6h	36N10	86W47	Nashville, TN
Jeffreys Anne	AC	26	01	1923	14:15	5h	35N23	77W59	Goldsboro, NC
Jenkins David	SP	29	06	1936	17:00	5h	41N5	81W31	Akron, OH
Jenkins Paul	AR	12	07	1923	00:45	6h	39N6	94W35	Kansas City, MO
Jens Salome	AC	08	05	1935	06:15	6h	43N2	87W55	Milwaukee, WI
Jensen Arthur	SC	24	08	1923	05:20	8h	32N43	117W9	San Diego, CA
Jeter Robert	SP	09	05	1937	08:00	5h	34N43	81W37	Union, SC
Johansen Eivind	MI	07	03	1927	06:00	5h	32N46	79W56	Charleston, SC
Johansen Julian	MI	17	03	1923	04:30	5h	32N46	79W56	Charleston, SC
Johnson Cornelius	SP	21	08	1913	02:20	8h	34N4	118W15	Los Angeles, CA
Johnson Don	SP	19	05	1940	02:20	6h	40N29	86W8	Kokomo, IN
Johnson Gerald	MI	10	07	1919	10:36	5h	38N32	84W50	Owenton, KY
Johnson Harold	SC	17	04	1921	13:10	6h	39N44	104W59	Denver, CO
Johnson Patty	SP	15	04	1950	10:00	8h	32N43	117W9	San Diego, CA
Johnson Ronald	WR	25	11	1935	15:30	6h	37N12	99W47	Ashland, KS
Jones Deacon	SP	09	12	1938	20:00	5h	28N37	81W23	Eatonville, FL
Jones Everett	WR	07	10	1934	05:15	5h	40N44	74W10	Newark, NJ
